,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,game_stadium,attendance,season,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game,home_team_stadium,away_team_stadium,distance_in_km,capacity,att_ratio,ln(attendance),ln(capacity),built_in,stadium_age,stadium_age_squared,home_team_city,away_team_city
2030,2021-01-24,19:00,Regular Season,16,Bnei Yehuda Tel Aviv,Hapoel Kfar Saba,11,10,Bnei Yehuda Tel Aviv,1,3,Snir Levi,Bloomfield,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,1,2020 - Regular Season - 16 - Bnei Yehuda Tel Aviv,2020 - Regular Season - 16 - Hapoel Kfar Saba,0,16,,,11.0,0,19,,,10.0,Bloomfield,HaMoshava,11.407364209149236,29400.0,0.0,0.0,10.288749953326773,1962,59,3481,Tel Aviv,Petah Tikva
2031,2021-01-25,20:15,Regular Season,16,Hapoel Beer Sheva,Hapoel Hadera,3,13,Hapoel Hadera,1,0,Nael Odeh,Turner,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 16 - Hapoel Beer Sheva,2020 - Regular Season - 16 - Hapoel Hadera,0,27,,,4.0,0,14,,,13.0,Turner,Netanya,113.49021676171931,16126.0,0.0,0.0,9.688188155244967,2015,6,36,Be'er Sheva,Netanya
2032,2021-01-26,19:45,Regular Season,17,Hapoel Haifa,Maccabi Petah Tikva,9,3,Hapoel Haifa,1,2,Erez Papir,Sammy Ofer,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,1,2020 - Regular Season - 17 - Hapoel Haifa,2020 - Regular Season - 17 - Maccabi Petah Tikva,0,20,,,9.0,0,29,,,4.0,Sammy Ofer,HaMoshava,75.84154503558618,30858.0,0.0,0.0,10.337151315002972,2014,7,49,Haifa,Petah Tikva
2033,2021-01-26,20:00,Regular Season,17,Beitar Jerusalem,Hapoel Tel Aviv,8,14,Hapoel Tel Aviv,0,1,Gal Leibovitz,Teddy,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 17 - Beitar Jerusalem,2020 - Regular Season - 17 - Hapoel Tel Aviv,0,21,,,7.0,0,14,,,14.0,Teddy,Bloomfield,52.53896813753319,31733.0,0.0,0.0,10.365112427854497,1990,31,961,Jerusalem,Tel Aviv
2034,2021-01-27,19:00,Regular Season,17,FC Ashdod,Bnei Yehuda Tel Aviv,4,12,Bnei Yehuda Tel Aviv,4,0,David Fucsman,Yud-Alef,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,1,2020 - Regular Season - 17 - FC Ashdod,2020 - Regular Season - 17 - Bnei Yehuda Tel Aviv,0,28,,,5.0,0,16,,,11.0,Yud-Alef,Bloomfield,28.811916682556806,7800.0,0.0,0.0,8.961879012677683,1966,55,3025,Ashdod,Tel Aviv
2035,2021-01-27,20:00,Regular Season,17,Hapoel Kfar Saba,Maccabi Netanya,10,7,Hapoel Kfar Saba,0,1,Sapir Berman,HaMoshava,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 17 - Hapoel Kfar Saba,2020 - Regular Season - 17 - Maccabi Netanya,0,19,,,10.0,0,23,,,8.0,HaMoshava,Netanya,21.068620422647992,11500.0,0.0,0.0,9.350102314351341,2011,10,100,Petah Tikva,Netanya
2036,2021-01-27,20:45,Regular Season,17,Maccabi Tel Aviv,Maccabi Haifa,2,1,Maccabi Tel Aviv,2,1,Orel Grinfeld,Bloomfield,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 17 - Maccabi Tel Aviv,2020 - Regular Season - 17 - Maccabi Haifa,0,33,,,2.0,0,38,,,1.0,Bloomfield,Sammy Ofer,83.34157294325398,29400.0,0.0,0.0,10.288749953326773,1962,59,3481,Tel Aviv,Haifa
2037,2021-01-28,19:00,Regular Season,17,Hapoel Hadera,Ironi Kiryat Shmona,13,6,Hapoel Hadera,0,1,Liran Liany,Netanya,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,0,2020 - Regular Season - 17 - Hapoel Hadera,2020 - Regular Season - 17 - Ironi Kiryat Shmona,0,14,,,13.0,0,27,,,6.0,Netanya,Kiryat Shmona Municipal,121.28583945619715,13800.0,0.0,0.0,9.532423871145296,2012,9,81,Netanya,Kiryat Shmona
2038,2021-01-28,20:15,Regular Season,17,Ihud Bnei Sakhnin,Hapoel Beer Sheva,11,5,Ihud Bnei Sakhnin,1,0,Shalom Ben Avraham,Doha,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 17 - Ihud Bnei Sakhnin,2020 - Regular Season - 17 - Hapoel Beer Sheva,0,19,,,12.0,0,27,,,3.0,Doha,Turner,183.6453632547279,8500.0,0.0,0.0,9.047821442478408,2006,15,225,Sakhnin,Be'er Sheva
2039,2021-01-30,18:45,Regular Season,18,Maccabi Netanya,FC Ashdod,7,4,Maccabi Netanya,3,0,Daniel Bar Natan,Netanya,0.0,2020,0,0,0,0,0,1,0,0,0,0,0,1,2020 - Regular Season - 18 - Maccabi Netanya,2020 - Regular Season - 18 - FC Ashdod,0,26,,,7.0,0,28,,,4.0,Netanya,Yud-Alef,57.423522530876554,13800.0,0.0,0.0,9.532423871145296,2012,9,81,Netanya,Ashdod
2040,2021-01-31,20:00,Regular Season,18,Hapoel Tel Aviv,Ironi Kiryat Shmona,14,5,Hapoel Tel Aviv,1,1,Eitan Shmuelevic,Bloomfield,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 18 - Hapoel Tel Aviv,2020 - Regular Season - 18 - Ironi Kiryat Shmona,0,15,,,14.0,0,28,,,6.0,Bloomfield,Kiryat Shmona Municipal,149.2857438267817,29400.0,0.0,0.0,10.288749953326773,1962,59,3481,Tel Aviv,Kiryat Shmona
2041,2021-01-31,20:15,Regular Season,18,Maccabi Haifa,Hapoel Kfar Saba,1,10,Hapoel Kfar Saba,3,0,Eli Hacmon,Sammy Ofer,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 18 - Maccabi Haifa,2020 - Regular Season - 18 - Hapoel Kfar Saba,0,41,,,1.0,0,19,,,10.0,Sammy Ofer,HaMoshava,75.84154503558618,30858.0,0.0,0.0,10.337151315002972,2014,7,49,Haifa,Petah Tikva
2042,2021-02-01,19:00,Regular Season,18,Bnei Yehuda Tel Aviv,Hapoel Haifa,13,9,Bnei Yehuda Tel Aviv,0,2,Idan Leiba,Bloomfield,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,0,2020 - Regular Season - 18 - Bnei Yehuda Tel Aviv,2020 - Regular Season - 18 - Hapoel Haifa,0,16,,,12.0,0,23,,,9.0,Bloomfield,Sammy Ofer,83.34157294325398,29400.0,0.0,0.0,10.288749953326773,1962,59,3481,Tel Aviv,Haifa
2043,2021-02-01,19:30,Regular Season,18,Ihud Bnei Sakhnin,Hapoel Hadera,11,12,Hapoel Hadera,0,2,Igal Frid,Doha,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,0,2020 - Regular Season - 18 - Ihud Bnei Sakhnin,2020 - Regular Season - 18 - Hapoel Hadera,0,19,,,11.0,0,17,,,13.0,Doha,Netanya,76.03997589403676,8500.0,0.0,0.0,9.047821442478408,2006,15,225,Sakhnin,Netanya
2044,2021-02-01,20:45,Regular Season,18,Hapoel Beer Sheva,Maccabi Tel Aviv,6,2,Hapoel Beer Sheva,0,1,Gal Leibovitz,Turner,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 18 - Hapoel Beer Sheva,2020 - Regular Season - 18 - Maccabi Tel Aviv,0,27,,,5.0,0,36,,,2.0,Turner,Bloomfield,86.29874526368715,16126.0,0.0,0.0,9.688188155244967,2015,6,36,Be'er Sheva,Tel Aviv
2045,2021-02-24,20:00,Regular Season,18,Maccabi Petah Tikva,Beitar Jerusalem,3,8,Beitar Jerusalem,0,1,Aviad Shiloah,HaMoshava,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 18 - Maccabi Petah Tikva,2020 - Regular Season - 18 - Beitar Jerusalem,0,29,,,3.0,0,24,,,8.0,HaMoshava,Teddy,49.83677550365053,11500.0,0.0,0.0,9.350102314351341,2011,10,100,Petah Tikva,Jerusalem
2046,2021-02-06,18:00,Regular Season,19,Hapoel Haifa,Maccabi Netanya,9,7,Hapoel Haifa,0,0,Nael Odeh,Sammy Ofer,0.0,2020,0,0,0,0,0,1,0,0,0,0,0,1,2020 - Regular Season - 19 - Hapoel Haifa,2020 - Regular Season - 19 - Maccabi Netanya,0,24,,,9.0,0,27,,,7.0,Sammy Ofer,Netanya,55.00741285608684,30858.0,0.0,0.0,10.337151315002972,2014,7,49,Haifa,Netanya
2047,2021-02-06,18:45,Regular Season,19,Hapoel Kfar Saba,Hapoel Beer Sheva,10,5,Hapoel Kfar Saba,0,1,Roi Reinshreiber,HaMoshava,0.0,2020,0,0,0,0,0,1,0,0,0,0,0,1,2020 - Regular Season - 19 - Hapoel Kfar Saba,2020 - Regular Season - 19 - Hapoel Beer Sheva,0,19,,,10.0,0,30,,,6.0,HaMoshava,Turner,92.49370355690822,11500.0,0.0,0.0,9.350102314351341,2011,10,100,Petah Tikva,Be'er Sheva
2048,2021-02-06,20:15,Regular Season,19,Maccabi Tel Aviv,Ihud Bnei Sakhnin,2,11,Ihud Bnei Sakhnin,1,0,Daniel Bar Natan,Bloomfield,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 19 - Maccabi Tel Aviv,2020 - Regular Season - 19 - Ihud Bnei Sakhnin,0,39,,,2.0,0,19,,,11.0,Bloomfield,Doha,104.08872372945213,29400.0,0.0,0.0,10.288749953326773,1962,59,3481,Tel Aviv,Sakhnin
2049,2021-02-06,20:45,Regular Season,19,FC Ashdod,Maccabi Haifa,3,1,FC Ashdod,1,0,Erez Papir,Yud-Alef,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 19 - FC Ashdod,2020 - Regular Season - 19 - Maccabi Haifa,0,31,,,4.0,0,41,,,1.0,Yud-Alef,Sammy Ofer,111.91424626881171,7800.0,0.0,0.0,8.961879012677683,1966,55,3025,Ashdod,Haifa
2050,2021-02-07,20:30,Regular Season,19,Hapoel Hadera,Hapoel Tel Aviv,12,14,Hapoel Tel Aviv,1,1,Orel Grinfeld,Netanya,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 19 - Hapoel Hadera,2020 - Regular Season - 19 - Hapoel Tel Aviv,0,18,,,12.0,0,16,,,14.0,Netanya,Bloomfield,28.62028018889023,13800.0,0.0,0.0,9.532423871145296,2012,9,81,Netanya,Tel Aviv
2051,2021-03-10,19:00,Regular Season,19,Ironi Kiryat Shmona,Maccabi Petah Tikva,4,6,Maccabi Petah Tikva,2,1,Roi Reinshreiber,Kiryat Shmona Municipal,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,1,2020 - Regular Season - 19 - Ironi Kiryat Shmona,2020 - Regular Season - 19 - Maccabi Petah Tikva,0,31,,,5.0,0,29,,,3.0,Kiryat Shmona Municipal,HaMoshava,139.3706366673129,5300.0,0.0,0.0,8.575462099540212,1989,32,1024,Kiryat Shmona,Petah Tikva
2052,2021-03-11,20:00,Regular Season,19,Beitar Jerusalem,Bnei Yehuda Tel Aviv,8,13,Bnei Yehuda Tel Aviv,1,1,Erez Papir,Teddy,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 19 - Beitar Jerusalem,2020 - Regular Season - 19 - Bnei Yehuda Tel Aviv,0,25,,,8.0,0,17,,,13.0,Teddy,Bloomfield,52.53896813753319,31733.0,0.0,0.0,10.365112427854497,1990,31,961,Jerusalem,Tel Aviv
2053,2021-02-09,19:00,Regular Season,20,Ihud Bnei Sakhnin,Hapoel Kfar Saba,13,10,Ihud Bnei Sakhnin,0,1,Idan Leiba,Doha,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,0,2020 - Regular Season - 20 - Ihud Bnei Sakhnin,2020 - Regular Season - 20 - Hapoel Kfar Saba,0,19,,,11.0,0,22,,,10.0,Doha,HaMoshava,94.3286993494961,8500.0,0.0,0.0,9.047821442478408,2006,15,225,Sakhnin,Petah Tikva
2054,2021-02-09,20:15,Regular Season,20,Hapoel Beer Sheva,FC Ashdod,5,3,Hapoel Beer Sheva,0,3,Aviad Shiloah,Turner,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 20 - Hapoel Beer Sheva,2020 - Regular Season - 20 - FC Ashdod,0,30,,,5.0,0,34,,,3.0,Turner,Yud-Alef,60.809875281897874,16126.0,0.0,0.0,9.688188155244967,2015,6,36,Be'er Sheva,Ashdod
2055,2021-02-10,20:00,Regular Season,20,Maccabi Petah Tikva,Hapoel Tel Aviv,6,12,Hapoel Tel Aviv,0,2,David Fucsman,HaMoshava,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 20 - Maccabi Petah Tikva,2020 - Regular Season - 20 - Hapoel Tel Aviv,0,29,,,6.0,0,19,,,14.0,HaMoshava,Bloomfield,11.407364209149236,11500.0,0.0,0.0,9.350102314351341,2011,10,100,Petah Tikva,Tel Aviv
2056,2021-02-10,20:15,Regular Season,20,Maccabi Tel Aviv,Hapoel Hadera,2,14,Hapoel Hadera,3,1,Shalom Ben Avraham,Bloomfield,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 20 - Maccabi Tel Aviv,2020 - Regular Season - 20 - Hapoel Hadera,0,42,,,2.0,0,18,,,12.0,Bloomfield,Netanya,28.62028018889023,29400.0,0.0,0.0,10.288749953326773,1962,59,3481,Tel Aviv,Netanya
2057,2021-02-10,20:45,Regular Season,20,Maccabi Haifa,Hapoel Haifa,1,9,Hapoel Haifa,2,0,Liran Liany,Sammy Ofer,0.0,2020,1,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 20 - Maccabi Haifa,2020 - Regular Season - 20 - Hapoel Haifa,0,44,,,1.0,0,24,,,9.0,Sammy Ofer,Sammy Ofer,0.0,30858.0,0.0,0.0,10.337151315002972,2014,7,49,Haifa,Haifa
2058,2021-02-11,20:15,Regular Season,20,Maccabi Netanya,Beitar Jerusalem,8,7,Maccabi Netanya,1,2,Igal Frid,Netanya,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 20 - Maccabi Netanya,2020 - Regular Season - 20 - Beitar Jerusalem,0,27,,,7.0,0,28,,,8.0,Netanya,Teddy,67.68303794070863,13800.0,0.0,0.0,9.532423871145296,2012,9,81,Netanya,Jerusalem
2059,2021-02-24,19:15,Regular Season,20,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,11,4,Bnei Yehuda Tel Aviv,1,0,Nael Odeh,Bloomfield,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,1,2020 - Regular Season - 20 - Bnei Yehuda Tel Aviv,2020 - Regular Season - 20 - Ironi Kiryat Shmona,0,20,,,13.0,0,31,,,4.0,Bloomfield,Kiryat Shmona Municipal,149.2857438267817,29400.0,0.0,0.0,10.288749953326773,1962,59,3481,Tel Aviv,Kiryat Shmona
2060,2021-02-13,15:00,Regular Season,21,Hapoel Haifa,Hapoel Beer Sheva,9,4,Hapoel Haifa,2,2,Eitan Shmuelevic,Sammy Ofer,0.0,2020,0,0,1,0,0,0,0,0,0,0,0,1,2020 - Regular Season - 21 - Hapoel Haifa,2020 - Regular Season - 21 - Hapoel Beer Sheva,0,25,,,9.0,0,31,,,5.0,Sammy Ofer,Turner,168.30925295298871,30858.0,0.0,0.0,10.337151315002972,2014,7,49,Haifa,Be'er Sheva
2061,2021-02-13,18:45,Regular Season,21,FC Ashdod,Ihud Bnei Sakhnin,3,14,Ihud Bnei Sakhnin,0,0,Snir Levi,Yud-Alef,0.0,2020,0,0,0,0,0,1,0,0,0,0,0,1,2020 - Regular Season - 21 - FC Ashdod,2020 - Regular Season - 21 - Ihud Bnei Sakhnin,0,35,,,3.0,0,20,,,13.0,Yud-Alef,Doha,132.6922933820839,7800.0,0.0,0.0,8.961879012677683,1966,55,3025,Ashdod,Sakhnin
