fixture,id,referee,timezone,date,timestamp,periods,first,second,venue,id,name,city,status,long,short,elapsed,league,id,name,country,logo,flag,season,round,teams,home,id,name,logo,winner,away,id,name,logo,winner,goals,home,away,score,halftime,home,away,fulltime,home,away,extratime,home,away,penalty,home,away
,179483,None,UTC,2019-03-30T15:00:00+00:00,1553958000,,1553958000,1553961600,,None,Yud-Alef Stadium (Ašdod (Ashdod)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 2,,,4507,Ashdod,https://media-1.api-sports.io/football/teams/4507.png,True,,4510,Ironi Kiryat Shmona,https://media-6.api-sports.io/football/teams/4510.png,False,,3,2,,,2,2,,3,2,,None,None,,None,None
,179484,None,UTC,2019-03-31T16:00:00+00:00,1554048000,,1554048000,1554051600,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 2,,,4495,Maccabi Petah Tikva,https://media-4.api-sports.io/football/teams/4495.png,None,,4509,Hapoel Ra'anana,https://media-5.api-sports.io/football/teams/4509.png,None,,1,1,,,1,0,,1,1,,None,None,,None,None
,179485,None,UTC,2019-03-31T17:30:00+00:00,1554053400,,1554053400,1554057000,,None,Teddi Malcha Stadium (Jerusalem),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 2,,,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,None,,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,None,,0,0,,,0,0,,0,0,,None,None,,None,None
,179486,None,UTC,2019-04-01T17:30:00+00:00,1554139800,,1554139800,1554143400,,None,Sammy Ofer Stadium (Haifa),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 2,,,2253,Hapoel Haifa,https://media-6.api-sports.io/football/teams/2253.png,None,,4501,Hapoel Tel Aviv,https://media-1.api-sports.io/football/teams/4501.png,None,,0,0,,,0,0,,0,0,,None,None,,None,None
,179487,None,UTC,2019-04-06T15:00:00+00:00,1554562800,,1554562800,1554566400,,None,Kiryat-Shmona Municipal Stadium (Kiryat-Shmona),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 3,,,4510,Ironi Kiryat Shmona,https://media-4.api-sports.io/football/teams/4510.png,True,,2253,Hapoel Haifa,https://media-4.api-sports.io/football/teams/2253.png,False,,3,0,,,0,0,,3,0,,None,None,,None,None
,179488,None,UTC,2019-04-06T16:00:00+00:00,1554566400,,1554566400,1554570000,,None,Doha Stadium (Sakhnin),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 3,,,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,None,,4495,Maccabi Petah Tikva,https://media-2.api-sports.io/football/teams/4495.png,None,,1,1,,,0,0,,1,1,,None,None,,None,None
,179489,None,UTC,2019-04-07T16:00:00+00:00,1554652800,,1554652800,1554656400,,None,National Stadium Ramat Gan (Ramat Gan),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 3,,,4509,Hapoel Ra'anana,https://media-6.api-sports.io/football/teams/4509.png,False,,4507,Ashdod,https://media-1.api-sports.io/football/teams/4507.png,True,,1,2,,,1,0,,1,2,,None,None,,None,None
,179490,None,UTC,2019-04-08T18:00:00+00:00,1554746400,,1554746400,1554750000,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 3,,,4501,Hapoel Tel Aviv,https://media-2.api-sports.io/football/teams/4501.png,False,,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,True,,1,2,,,1,0,,1,2,,None,None,,None,None
,179491,None,UTC,2019-04-13T15:00:00+00:00,1555167600,,1555167600,1555171200,,None,Sammy Ofer Stadium (Haifa),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 4,,,2253,Hapoel Haifa,https://media-6.api-sports.io/football/teams/2253.png,False,,4509,Hapoel Ra'anana,https://media-4.api-sports.io/football/teams/4509.png,True,,0,2,,,0,1,,0,2,,None,None,,None,None
,179492,None,UTC,2019-04-13T15:00:00+00:00,1555167600,,1555167600,1555171200,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 4,,,4501,Hapoel Tel Aviv,https://media-5.api-sports.io/football/teams/4501.png,None,,4510,Ironi Kiryat Shmona,https://media-1.api-sports.io/football/teams/4510.png,None,,2,2,,,1,0,,2,2,,None,None,,None,None
,179493,None,UTC,2019-04-13T16:00:00+00:00,1555171200,,1555171200,1555174800,,None,Yud-Alef Stadium (Ašdod (Ashdod)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 4,,,4507,Ashdod,https://media-1.api-sports.io/football/teams/4507.png,False,,4481,Bnei Sakhnin,https://media-2.api-sports.io/football/teams/4481.png,True,,1,2,,,0,0,,1,2,,None,None,,None,None
,179494,None,UTC,2019-04-13T17:30:00+00:00,1555176600,,1555176600,1555180200,,None,Teddi Malcha Stadium (Jerusalem),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 4,,,657,Beitar Jerusalem,https://media-1.api-sports.io/football/teams/657.png,True,,4495,Maccabi Petah Tikva,https://media-4.api-sports.io/football/teams/4495.png,False,,4,1,,,1,0,,4,1,,None,None,,None,None
,179495,None,UTC,2019-04-27T17:30:00+00:00,1556386200,,1556386200,1556389800,,None,Kiryat-Shmona Municipal Stadium (Kiryat-Shmona),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 5,,,4510,Ironi Kiryat Shmona,https://media-1.api-sports.io/football/teams/4510.png,False,,657,Beitar Jerusalem,https://media-2.api-sports.io/football/teams/657.png,True,,0,1,,,0,0,,0,1,,None,None,,None,None
,179496,None,UTC,2019-04-27T17:30:00+00:00,1556386200,,1556386200,1556389800,,None,National Stadium Ramat Gan (Ramat Gan),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 5,,,4509,Hapoel Ra'anana,https://media-2.api-sports.io/football/teams/4509.png,True,,4501,Hapoel Tel Aviv,https://media-1.api-sports.io/football/teams/4501.png,False,,2,1,,,0,1,,2,1,,None,None,,None,None
,179497,None,UTC,2019-04-27T17:30:00+00:00,1556386200,,1556386200,1556389800,,None,Doha Stadium (Sakhnin),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 5,,,4481,Bnei Sakhnin,https://media-1.api-sports.io/football/teams/4481.png,False,,2253,Hapoel Haifa,https://media-1.api-sports.io/football/teams/2253.png,True,,1,2,,,0,1,,1,2,,None,None,,None,None
,179498,None,UTC,2019-04-27T17:30:00+00:00,1556386200,,1556386200,1556389800,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 5,,,4495,Maccabi Petah Tikva,https://media-5.api-sports.io/football/teams/4495.png,False,,4507,Ashdod,https://media-4.api-sports.io/football/teams/4507.png,True,,0,3,,,0,2,,0,3,,None,None,,None,None
,179499,None,UTC,2019-05-04T17:30:00+00:00,1556991000,,1556991000,1556994600,,None,Teddi Malcha Stadium (Jerusalem),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 6,,,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,False,,4507,Ashdod,https://media-2.api-sports.io/football/teams/4507.png,True,,2,3,,,1,0,,2,3,,None,None,,None,None
