match_date,kot,round_type,season_round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season
18/03/2017,3:00 PM,Relegation round,1,Ironi Kiryat Shmona,Hapoel Tel Aviv,1,8,Hapoel Tel Aviv,2,3,Liran Liany,Kiryat Shmona Municipal Stadium,2000,2016
18/03/2017,5:00 PM,Relegation round,1,Hapoel Haifa,Hapoel Ashkelon,5,7,Hapoel Ashkelon,1,4,Roi Reinshreiber,Sammy Ofer Stadium,1700,2016
19/03/2017,6:00 PM,Relegation round,1,Hapoel Raanana,Bnei Yehuda Tel Aviv,4,3,Hapoel Raanana,0,2,Zvika Levi,Netanya Stadium,700,2016
20/03/2017,7:30 PM,Relegation round,1,FC Ashdod,Hapoel Kfar Saba,2,6,Hapoel Kfar Saba,0,0,Eitan Shmuelevic,Yud-Alef Stadion,1350,2016
01/04/2017,5:00 PM,Relegation round,2,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,6,5,Hapoel Tel Aviv,2,0,Alon Yefet,HaMoshava Stadium,10000,2016
01/04/2017,5:00 PM,Relegation round,2,Ironi Kiryat Shmona,Hapoel Haifa,1,3,Hapoel Haifa,0,2,David Fucsman,Kiryat Shmona Municipal Stadium,700,2016
02/04/2017,7:15 PM,Relegation round,2,Hapoel Kfar Saba,Hapoel Raanana,8,2,Hapoel Kfar Saba,0,2,Guy Berger,Levita Stadium,1100,2016
03/04/2017,7:30 PM,Relegation round,2,Hapoel Ashkelon,FC Ashdod,7,4,Hapoel Ashkelon,0,0,Erez Papir,Sala Stadium,2500,2016
08/04/2017,3:00 PM,Relegation round,3,Hapoel Haifa,Hapoel Tel Aviv,2,7,Hapoel Tel Aviv,3,3,Menashe Masiah,Sammy Ofer Stadium,6700,2016
08/04/2017,5:00 PM,Relegation round,3,Hapoel Raanana,Hapoel Ashkelon,5,6,Hapoel Ashkelon,0,2,Eli Hacmon,Netanya Stadium,700,2016
08/04/2017,5:15 PM,Relegation round,3,Bnei Yehuda Tel Aviv,Hapoel Kfar Saba,3,8,Hapoel Kfar Saba,1,0,Oren Siminyan,HaMoshava Stadium,2300,2016
09/04/2017,6:00 PM,Relegation round,3,FC Ashdod,Ironi Kiryat Shmona,4,1,FC Ashdod,1,1,Aviad Shiloah,Yud-Alef Stadion,720,2016
22/04/2017,4:15 PM,Relegation round,4,Hapoel Ashkelon,Bnei Yehuda Tel Aviv,6,5,Hapoel Ashkelon,1,0,Eitan Shmuelevic,Sala Stadium,1800,2016
22/04/2017,5:00 PM,Relegation round,4,Hapoel Haifa,FC Ashdod,3,4,FC Ashdod,1,1,Igal Frid,Sammy Ofer Stadium,2200,2016
22/04/2017,7:15 PM,Relegation round,4,Ironi Kiryat Shmona,Hapoel Raanana,1,2,Hapoel Raanana,2,3,Ohad Asulin,Kiryat Shmona Municipal Stadium,400,2016
24/04/2017,8:00 PM,Relegation round,4,Hapoel Tel Aviv,Hapoel Kfar Saba,7,8,Hapoel Kfar Saba,2,0,Ziv Adler,HaMoshava Stadium,10000,2016
27/04/2017,6:30 PM,Relegation round,5,Hapoel Raanana,Hapoel Haifa,4,2,Hapoel Raanana,0,2,Asad Gabarin,Netanya Stadium,500,2016
27/04/2017,6:30 PM,Relegation round,5,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,5,1,Bnei Yehuda Tel Aviv,0,2,Nael Odeh,HaMoshava Stadium,1500,2016
29/04/2017,4:45 PM,Relegation round,5,FC Ashdod,Hapoel Tel Aviv,3,7,Hapoel Tel Aviv,2,0,Alon Yefet,Yud-Alef Stadion,4500,2016
29/04/2017,4:45 PM,Relegation round,5,Hapoel Kfar Saba,Hapoel Ashkelon,8,6,Hapoel Kfar Saba,1,0,Eli Hacmon,Levita Stadium,1500,2016
06/05/2017,6:00 PM,Relegation round,6,Hapoel Tel Aviv,Hapoel Ashkelon,7,6,Hapoel Tel Aviv,0,0,Liran Liany,HaMoshava Stadium,10500,2016
06/05/2017,6:00 PM,Relegation round,6,Ironi Kiryat Shmona,Hapoel Kfar Saba,1,8,Hapoel Kfar Saba,1,4,Erez Papir,Kiryat Shmona Municipal Stadium,200,2016
06/05/2017,6:00 PM,Relegation round,6,FC Ashdod,Hapoel Raanana,3,4,Hapoel Raanana,2,2,David Fucsman,Yud-Alef Stadion,250,2016
06/05/2017,6:00 PM,Relegation round,6,Hapoel Haifa,Bnei Yehuda Tel Aviv,2,5,Bnei Yehuda Tel Aviv,1,1,Eli Hacmon,Sammy Ofer Stadium,1900,2016
13/05/2017,7:30 PM,Relegation round,7,Hapoel Raanana,Hapoel Tel Aviv,4,8,Hapoel Tel Aviv,1,1,Eli Hacmon,Netanya Stadium,6500,2016
13/05/2017,7:30 PM,Relegation round,7,Bnei Yehuda Tel Aviv,FC Ashdod,5,3,Bnei Yehuda Tel Aviv,2,1,Ohad Asulin,HaMoshava Stadium,300,2016
13/05/2017,7:30 PM,Relegation round,7,Hapoel Ashkelon,Ironi Kiryat Shmona,6,1,Hapoel Ashkelon,2,1,Eitan Shmuelevic,Sala Stadium,5000,2016
13/05/2017,7:30 PM,Relegation round,7,Hapoel Kfar Saba,Hapoel Haifa,7,2,Hapoel Kfar Saba,1,0,Menashe Masiah,Levita Stadium,2300,2016
19/08/2017,5:00 PM,Regular round,1,FC Ashdod,Maccabi Petah Tikva,10,4,FC Ashdod,1,2,Erez Papir,Yud-Alef Stadion,900,2017
19/08/2017,6:00 PM,Regular round,1,Hapoel Raanana,Ironi Kiryat Shmona,9,8,Hapoel Raanana,0,0,Orel Grinfeld,Netanya Stadium,600,2017
19/08/2017,6:15 PM,Regular round,1,Hapoel Haifa,Hapoel Ashkelon,2,11,Hapoel Ashkelon,3,1,Daniel Bar Natan,Sammy Ofer Stadium,2500,2017
19/08/2017,7:30 PM,Regular round,1,Hapoel Beer Sheva,Maccabi Netanya,6,7,Maccabi Netanya,1,1,Ziv Adler,Toto Jacob Turner Stadium,14786,2017
