match_date,kot,round_type,season_round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season
08/11/2022,6:00 PM,Regular round,12,Ihud Bnei Sakhnin,FC Ashdod,7,5,Ihud Bnei Sakhnin,1,1,Ohad Asulin,Doha Stadium,1130,2022
08/11/2022,7:00 PM,Regular round,12,Maccabi Netanya,Ironi Kiryat Shmona,11,14,Ironi Kiryat Shmona,1,0,Gal Levi,Netanya Stadium,4469,2022
08/11/2022,7:15 PM,Regular round,12,Hapoel Jerusalem,Maccabi Tel Aviv,4,2,Hapoel Jerusalem,0,3,Erez Papir,Teddy-Kollek-Stadion,7796,2022
09/11/2022,6:00 PM,Regular round,12,Sekzia Ness Ziona,Maccabi Bnei Reineh,12,9,Sekzia Ness Ziona,3,3,Yoav Mizrahi,HaMoshava Stadium,815,2022
09/11/2022,7:00 PM,Regular round,12,Hapoel Beer Sheva,Hapoel Hadera,3,6,Hapoel Hadera,3,0,Shalom Ben Avraham,Toto Jacob Turner Stadium,11852,2022
09/11/2022,7:15 PM,Regular round,12,Hapoel Tel Aviv,Beitar Jerusalem,8,13,Beitar Jerusalem,2,1,Eitan Shmuelevic,Bloomfield,0,2022
09/11/2022,7:30 PM,Regular round,12,Hapoel Haifa,Maccabi Haifa,10,1,Hapoel Haifa,0,1,Idan Leiba,Sammy Ofer Stadium,26900,2022
12/11/2022,2:00 PM,Regular round,13,FC Ashdod,Maccabi Netanya,6,8,Maccabi Netanya,2,3,Igal Frid,Yud-Alef Stadion,2185,2022
12/11/2022,4:30 PM,Regular round,13,Hapoel Hadera,Sekzia Ness Ziona,5,13,Sekzia Ness Ziona,0,0,Niv Steif,Netanya Stadium,1094,2022
12/11/2022,6:30 PM,Regular round,13,Maccabi Tel Aviv,Hapoel Haifa,2,12,Hapoel Haifa,1,0,Nael Odeh,Bloomfield,20829,2022
13/11/2022,6:00 PM,Regular round,13,Maccabi Bnei Reineh,Hapoel Jerusalem,10,4,Maccabi Bnei Reineh,0,2,David Fucsman,Green Stadium,1000,2022
13/11/2022,7:00 PM,Regular round,13,Ironi Kiryat Shmona,Hapoel Beer Sheva,14,3,Ironi Kiryat Shmona,0,2,Roi Reinshreiber,Kiryat Shmona Municipal Stadium,2200,2022
13/11/2022,7:30 PM,Regular round,13,Maccabi Haifa,Hapoel Tel Aviv,1,9,Hapoel Tel Aviv,5,2,Snir Levi,Sammy Ofer Stadium,29742,2022
14/11/2022,7:15 PM,Regular round,13,Beitar Jerusalem,Ihud Bnei Sakhnin,11,7,Beitar Jerusalem,2,1,Aviad Shiloah,Teddy-Kollek-Stadion,12000,2022
17/12/2022,2:00 PM,Regular round,14,Hapoel Tel Aviv,Hapoel Haifa,10,11,Hapoel Haifa,3,3,Shalom Ben Avraham,Bloomfield,0,2022
17/12/2022,2:00 PM,Regular round,14,Hapoel Hadera,Hapoel Jerusalem,5,4,Hapoel Hadera,0,0,Snir Levi,Netanya Stadium,1250,2022
17/12/2022,7:30 PM,Regular round,14,Beitar Jerusalem,Maccabi Netanya,7,9,Maccabi Netanya,6,3,Gal Leibovitz,Teddy-Kollek-Stadion,8500,2022
17/12/2022,7:30 PM,Regular round,14,FC Ashdod,Hapoel Beer Sheva,6,3,FC Ashdod,0,1,Orel Grinfeld,Yud-Alef Stadion,2230,2022
19/12/2022,6:00 PM,Regular round,14,Ironi Kiryat Shmona,Sekzia Ness Ziona,14,13,Ironi Kiryat Shmona,3,3,Eitan Shmuelevic,Kiryat Shmona Municipal Stadium,988,2022
19/12/2022,7:15 PM,Regular round,14,Maccabi Bnei Reineh,Maccabi Tel Aviv,12,2,Maccabi Bnei Reineh,0,2,Ohad Asulin,Green Stadium,3190,2022
19/12/2022,7:30 PM,Regular round,14,Maccabi Haifa,Ihud Bnei Sakhnin,1,8,Ihud Bnei Sakhnin,3,1,Nael Odeh,Sammy Ofer Stadium,27152,2022
24/12/2022,2:00 PM,Regular round,15,Maccabi Tel Aviv,Hapoel Hadera,2,5,Hapoel Hadera,5,0,David Fucsman,Bloomfield,16850,2022
24/12/2022,4:30 PM,Regular round,15,Hapoel Jerusalem,Ironi Kiryat Shmona,4,14,Ironi Kiryat Shmona,1,1,Niv Steif,Teddy-Kollek-Stadion,1345,2022
24/12/2022,5:00 PM,Regular round,15,Hapoel Haifa,Maccabi Bnei Reineh,12,13,Maccabi Bnei Reineh,0,0,Gal Levi,Sammy Ofer Stadium,2300,2022
24/12/2022,5:00 PM,Regular round,15,Sekzia Ness Ziona,FC Ashdod,9,6,Sekzia Ness Ziona,2,0,Majed Rushrush,HaMoshava Stadium,143,2022
24/12/2022,6:30 PM,Regular round,15,Hapoel Beer Sheva,Beitar Jerusalem,3,8,Beitar Jerusalem,3,2,Eitan Shmuelevic,Toto Jacob Turner Stadium,14694,2022
25/12/2022,7:15 PM,Regular round,15,Ihud Bnei Sakhnin,Hapoel Tel Aviv,7,10,Hapoel Tel Aviv,1,1,Roi Reinshreiber,Doha Stadium,2200,2022
26/12/2022,7:30 PM,Regular round,15,Maccabi Netanya,Maccabi Haifa,11,1,Maccabi Netanya,0,2,Orel Grinfeld,Netanya Stadium,11317,2022
31/12/2022,2:00 PM,Regular round,16,Beitar Jerusalem,Sekzia Ness Ziona,6,12,Sekzia Ness Ziona,3,2,Ohad Asulin,Teddy-Kollek-Stadion,12081,2022
31/12/2022,4:30 PM,Regular round,16,Hapoel Tel Aviv,Maccabi Netanya,10,11,Maccabi Netanya,1,1,Aviad Shiloah,HaMoshava Stadium,7933,2022
31/12/2022,5:00 PM,Regular round,16,Ihud Bnei Sakhnin,Hapoel Haifa,9,8,Ihud Bnei Sakhnin,1,2,Orel Grinfeld,Doha Stadium,1500,2022
31/12/2022,6:10 PM,Regular round,16,FC Ashdod,Hapoel Jerusalem,7,4,FC Ashdod,1,1,Yoav Mizrahi,Yud-Alef Stadion,1208,2022
31/12/2022,6:30 PM,Regular round,16,Ironi Kiryat Shmona,Maccabi Tel Aviv,14,2,Ironi Kiryat Shmona,1,1,Idan Leiba,Kiryat Shmona Municipal Stadium,4856,2022
01/01/2023,6:00 PM,Regular round,16,Hapoel Hadera,Maccabi Bnei Reineh,5,13,Maccabi Bnei Reineh,2,2,Majed Rushrush,Netanya Stadium,401,2022
01/01/2023,7:30 PM,Regular round,16,Maccabi Haifa,Hapoel Beer Sheva,1,3,Hapoel Beer Sheva,2,0,Roi Reinshreiber,Sammy Ofer Stadium,29841,2022
07/01/2023,2:00 PM,Regular round,17,Maccabi Netanya,Ihud Bnei Sakhnin,10,9,Maccabi Netanya,0,0,Shalom Ben Avraham,Netanya Stadium,5218,2022
07/01/2023,4:30 PM,Regular round,17,Maccabi Tel Aviv,FC Ashdod,2,8,FC Ashdod,3,0,Nael Odeh,Bloomfield,21824,2022
07/01/2023,5:00 PM,Regular round,17,Hapoel Haifa,Hapoel Hadera,5,7,Hapoel Hadera,3,0,Igal Frid,Sammy Ofer Stadium,1780,2022
07/01/2023,6:30 PM,Regular round,17,Hapoel Jerusalem,Beitar Jerusalem,4,6,Beitar Jerusalem,1,1,Orel Grinfeld,Teddy-Kollek-Stadion,15465,2022
08/01/2023,6:00 PM,Regular round,17,Maccabi Bnei Reineh,Ironi Kiryat Shmona,14,12,Maccabi Bnei Reineh,0,1,Aviad Shiloah,Green Stadium,0,2022
08/01/2023,7:15 PM,Regular round,17,Sekzia Ness Ziona,Maccabi Haifa,13,1,Sekzia Ness Ziona,0,2,Snir Levi,HaMoshava Stadium,10358,2022
09/01/2023,6:30 PM,Regular round,17,Hapoel Beer Sheva,Hapoel Tel Aviv,3,11,Hapoel Tel Aviv,6,0,Idan Leiba,Toto Jacob Turner Stadium,14721,2022
14/01/2023,2:00 PM,Regular round,18,Hapoel Tel Aviv,Sekzia Ness Ziona,11,13,Sekzia Ness Ziona,1,1,Igal Frid,Bloomfield,7400,2022
14/01/2023,4:30 PM,Regular round,18,Ironi Kiryat Shmona,Hapoel Hadera,12,7,Ironi Kiryat Shmona,2,2,Gal Levi,Kiryat Shmona Municipal Stadium,772,2022
14/01/2023,5:00 PM,Regular round,18,FC Ashdod,Maccabi Bnei Reineh,5,14,Maccabi Bnei Reineh,3,0,David Fucsman,Yud-Alef Stadion,625,2022
14/01/2023,6:00 PM,Regular round,18,Maccabi Netanya,Hapoel Haifa,9,8,Maccabi Netanya,1,0,Niv Steif,Netanya Stadium,4076,2022
15/01/2023,7:15 PM,Regular round,18,Maccabi Haifa,Hapoel Jerusalem,1,4,Hapoel Jerusalem,2,1,Shalom Ben Avraham,Sammy Ofer Stadium,27854,2022
16/01/2023,7:30 PM,Regular round,18,Beitar Jerusalem,Maccabi Tel Aviv,6,3,Beitar Jerusalem,2,2,Gal Leibovitz,Teddy-Kollek-Stadion,23000,2022
08/02/2023,6:45 PM,Regular round,18,Ihud Bnei Sakhnin,Hapoel Beer Sheva,10,2,Ihud Bnei Sakhnin,0,1,Aviad Shiloah,Doha Stadium,2000,2022
21/01/2023,2:00 PM,Regular round,19,Hapoel Jerusalem,Hapoel Tel Aviv,4,11,Hapoel Tel Aviv,0,0,Aviad Shiloah,Teddy-Kollek-Stadion,4739,2022
21/01/2023,4:30 PM,Regular round,19,Hapoel Haifa,Ironi Kiryat Shmona,7,13,Ironi Kiryat Shmona,1,0,Yoav Mizrahi,Sammy Ofer Stadium,2250,2022
21/01/2023,5:00 PM,Regular round,19,Hapoel Hadera,FC Ashdod,9,5,Hapoel Hadera,0,2,Ohad Asulin,Netanya Stadium,1062,2022
21/01/2023,5:00 PM,Regular round,19,Sekzia Ness Ziona,Ihud Bnei Sakhnin,12,10,Sekzia Ness Ziona,0,0,Niv Steif,HaMoshava Stadium,350,2022
21/01/2023,6:30 PM,Regular round,19,Maccabi Bnei Reineh,Beitar Jerusalem,14,6,Maccabi Bnei Reineh,0,2,Snir Levi,Green Stadium,2304,2022
22/01/2023,7:15 PM,Regular round,19,Hapoel Beer Sheva,Maccabi Netanya,3,8,Maccabi Netanya,2,2,Igal Frid,Toto Jacob Turner Stadium,12428,2022
23/01/2023,7:30 PM,Regular round,19,Maccabi Tel Aviv,Maccabi Haifa,2,1,Maccabi Tel Aviv,3,0,Orel Grinfeld,Bloomfield,27279,2022
28/01/2023,2:00 PM,Regular round,20,Maccabi Haifa,Maccabi Bnei Reineh,1,14,Maccabi Bnei Reineh,0,0,Igal Frid,Sammy Ofer Stadium,24753,2022
28/01/2023,4:30 PM,Regular round,20,FC Ashdod,Ironi Kiryat Shmona,5,12,Ironi Kiryat Shmona,1,1,Niv Steif,Yud-Alef Stadion,1373,2022
28/01/2023,5:00 PM,Regular round,20,Maccabi Netanya,Sekzia Ness Ziona,7,13,Sekzia Ness Ziona,3,0,Majed Rushrush,Netanya Stadium,5370,2022
28/01/2023,6:30 PM,Regular round,20,Beitar Jerusalem,Hapoel Hadera,6,8,Hapoel Hadera,0,2,Roi Reinshreiber,HaMoshava Stadium,8000,2022
28/01/2023,7:00 PM,Regular round,20,Hapoel Tel Aviv,Maccabi Tel Aviv,11,3,Hapoel Tel Aviv,0,0,Snir Levi,Bloomfield,21850,2022
29/01/2023,7:15 PM,Regular round,20,Hapoel Haifa,Hapoel Beer Sheva,9,2,Hapoel Haifa,0,1,Nael Odeh,Sammy Ofer Stadium,3370,2022
30/01/2023,7:00 PM,Regular round,20,Ihud Bnei Sakhnin,Hapoel Jerusalem,10,4,Ihud Bnei Sakhnin,2,1,Gal Levi,Doha Stadium,1300,2022
04/02/2023,2:00 PM,Regular round,21,Sekzia Ness Ziona,Hapoel Beer Sheva,13,2,Sekzia Ness Ziona,0,1,Idan Leiba,HaMoshava Stadium,2887,2022
04/02/2023,4:30 PM,Regular round,21,Maccabi Tel Aviv,Ihud Bnei Sakhnin,3,10,Ihud Bnei Sakhnin,1,1,Igal Frid,Bloomfield,18190,2022
04/02/2023,5:00 PM,Regular round,21,Hapoel Haifa,FC Ashdod,9,7,Hapoel Haifa,1,1,Eitan Shmuelevic,Sammy Ofer Stadium,2250,2022
04/02/2023,5:00 PM,Regular round,21,Hapoel Jerusalem,Maccabi Netanya,4,6,Maccabi Netanya,0,2,Roi Reinshreiber,Teddy-Kollek-Stadion,1757,2022
04/02/2023,6:30 PM,Regular round,21,Ironi Kiryat Shmona,Beitar Jerusalem,12,5,Ironi Kiryat Shmona,0,3,Nael Odeh,Kiryat Shmona Municipal Stadium,2700,2022
05/02/2023,7:15 PM,Regular round,21,Maccabi Bnei Reineh,Hapoel Tel Aviv,14,11,Maccabi Bnei Reineh,1,1,Shalom Ben Avraham,Netanya Stadium,2355,2022
08/02/2023,7:30 PM,Regular round,21,Hapoel Hadera,Maccabi Haifa,8,1,Hapoel Hadera,1,1,Gal Leibovitz,Netanya Stadium,8800,2022
11/02/2023,2:00 PM,Regular round,22,Beitar Jerusalem,FC Ashdod,4,8,FC Ashdod,2,1,Idan Leiba,Teddy-Kollek-Stadion,16000,2022
11/02/2023,4:30 PM,Regular round,22,Hapoel Beer Sheva,Hapoel Jerusalem,2,6,Hapoel Jerusalem,0,0,Orel Grinfeld,Toto Jacob Turner Stadium,14746,2022
11/02/2023,5:30 PM,Regular round,22,Sekzia Ness Ziona,Hapoel Haifa,14,7,Sekzia Ness Ziona,0,2,Dekel Tzino,HaMoshava Stadium,716,2022
11/02/2023,5:30 PM,Regular round,22,Ihud Bnei Sakhnin,Maccabi Bnei Reineh,10,12,Maccabi Bnei Reineh,1,1,Ohad Asulin,Doha Stadium,1500,2022
