season,clubs_name,round,promoted,game,win,draw,lose,goals,g_difference,pts,team_pos
22/23,Maccabi Haifa,16,0,Regular,14,0,2,36:14,22,42,0
22/23,Maccabi Tel Aviv,16,0,Regular,11,3,2,38:7,31,36,1
22/23,Hapoel Beer Sheva,16,0,Regular,11,2,3,34:15,19,35,2
22/23,Hapoel Jerusalem,16,0,Regular,7,5,4,22:15,7,26,3
22/23,Hapoel Hadera,16,0,Regular,4,8,4,17:25,-8,20,4
22/23,Beitar Jerusalem,16,0,Regular,6,1,9,26:34,-8,19,5
22/23,FC Ashdod,16,0,Regular,4,6,6,16:20,-4,18,6
22/23,Hapoel Haifa,16,0,Regular,3,8,5,14:18,-4,17,7
22/23,Ihud Bnei Sakhnin,16,0,Regular,4,4,8,15:21,-6,16,8
22/23,Hapoel Tel Aviv,16,0,Regular,4,4,8,21:30,-9,16,9
22/23,Maccabi Netanya,16,0,Regular,4,4,8,18:30,-12,16,10
22/23,Sekzia Ness Ziona,16,0,Regular,3,6,7,19:28,-9,15,11
22/23,Maccabi Bnei Reineh,16,0,Regular,3,6,7,16:28,-12,15,12
22/23,Ironi Kiryat Shmona,16,0,Regular,1,9,6,17:24,-7,12,13
22/23,Maccabi Haifa,17,0,Regular,15,0,2,38:14,24,45,0
22/23,Maccabi Tel Aviv,17,0,Regular,12,3,2,41:7,34,39,1
22/23,Hapoel Beer Sheva,17,0,Regular,12,2,3,40:15,25,38,2
22/23,Hapoel Jerusalem,17,0,Regular,7,6,4,23:16,7,27,3
22/23,Hapoel Haifa,17,0,Regular,4,8,5,17:18,-1,20,4
22/23,Beitar Jerusalem,17,0,Regular,6,2,9,27:35,-8,20,5
22/23,Hapoel Hadera,17,0,Regular,4,8,5,17:28,-11,20,6
22/23,FC Ashdod,17,0,Regular,4,6,7,16:23,-7,18,7
22/23,Ihud Bnei Sakhnin,17,0,Regular,4,5,8,15:21,-6,17,8
22/23,Maccabi Netanya,17,0,Regular,4,5,8,18:30,-12,17,9
22/23,Hapoel Tel Aviv,17,0,Regular,4,4,9,21:36,-15,16,10
22/23,Ironi Kiryat Shmona,17,0,Regular,2,9,6,18:24,-6,15,11
22/23,Sekzia Ness Ziona,17,0,Regular,3,6,8,19:30,-11,15,12
22/23,Maccabi Bnei Reineh,17,0,Regular,3,6,8,16:29,-13,15,13
22/23,Maccabi Haifa,18,0,Regular,16,0,2,40:15,25,48,0
22/23,Hapoel Beer Sheva,18,0,Regular,13,2,3,41:15,26,41,1
22/23,Maccabi Tel Aviv,18,0,Regular,12,4,2,43:9,34,40,2
22/23,Hapoel Jerusalem,18,0,Regular,7,6,5,24:18,6,27,3
22/23,FC Ashdod,18,0,Regular,5,6,7,19:23,-4,21,4
22/23,Beitar Jerusalem,18,0,Regular,6,3,9,29:37,-8,21,5
22/23,Hapoel Hadera,18,0,Regular,4,9,5,19:30,-11,21,6
22/23,Hapoel Haifa,18,0,Regular,4,8,6,17:19,-2,20,7
22/23,Maccabi Netanya,18,0,Regular,5,5,8,19:30,-11,20,8
22/23,Ihud Bnei Sakhnin,18,0,Regular,4,5,9,15:22,-7,17,9
22/23,Hapoel Tel Aviv,18,0,Regular,4,5,9,22:37,-15,17,10
