,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season,home_won,away_won,draw,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game
35,2022-10-01,1900-01-01 18:00:00,Regular Season,6,Ironi Kiryat Shmona,Hapoel Haifa,8,7,Ironi Kiryat Shmona,1,1,David Fucsman,Kiryat Shmona Municipal Stadium,2048,2022,0,0,1,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 6 - Ironi Kiryat Shmona,2022 - Regular Season - 6 - Hapoel Haifa,0,7,,,8,0,7,,,7
36,2022-10-01,1900-01-01 19:15:00,Regular Season,6,FC Ashdod,Hapoel Hadera,6,9,Hapoel Hadera,1,1,Gal Leibovitz,Yud-Alef Stadion,695,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 6 - FC Ashdod,2022 - Regular Season - 6 - Hapoel Hadera,0,9,,,5,0,7,,,9
37,2022-10-01,1900-01-01 20:00:00,Regular Season,6,Maccabi Netanya,Hapoel Beer Sheva,11,4,Maccabi Netanya,1,2,Roi Reinshreiber,Netanya Stadium,5190,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 6 - Maccabi Netanya,2022 - Regular Season - 6 - Hapoel Beer Sheva,0,5,,,10,0,12,,,4
38,2022-10-01,1900-01-01 20:30:00,Regular Season,6,Maccabi Haifa,Maccabi Tel Aviv,1,3,Maccabi Tel Aviv,2,0,Eitan Shmuelevic,Sammy Ofer Stadium,29761,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 6 - Maccabi Haifa,2022 - Regular Season - 6 - Maccabi Tel Aviv,0,15,,,2,0,13,,,1
39,2022-10-02,1900-01-01 19:00:00,Regular Season,6,Ihud Bnei Sakhnin,Sekzia Ness Ziona,5,13,Sekzia Ness Ziona,2,0,Gal Levi,Doha Stadium,2100,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 6 - Ihud Bnei Sakhnin,2022 - Regular Season - 6 - Sekzia Ness Ziona,0,10,,,6,1,3,,,13
40,2022-10-02,1900-01-01 20:15:00,Regular Season,6,Hapoel Tel Aviv,Hapoel Jerusalem,12,2,Hapoel Tel Aviv,1,3,Niv Steif,Bloomfield,8700,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 6 - Hapoel Tel Aviv,2022 - Regular Season - 6 - Hapoel Jerusalem,0,3,,,11,0,14,,,3
41,2022-10-03,1900-01-01 20:15:00,Regular Season,6,Beitar Jerusalem,Maccabi Bnei Reineh,14,10,Beitar Jerusalem,2,3,Erez Papir,Bloomfield,8500,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 6 - Beitar Jerusalem,2022 - Regular Season - 6 - Maccabi Bnei Reineh,0,3,,,14,1,6,,,12
42,2022-10-08,1900-01-01 18:00:00,Regular Season,7,Sekzia Ness Ziona,Maccabi Netanya,12,11,Sekzia Ness Ziona,1,1,Orel Grinfeld,HaMoshava Stadium,2119,2022,0,0,1,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 7 - Sekzia Ness Ziona,2022 - Regular Season - 7 - Maccabi Netanya,1,4,,,13,0,6,,,11
43,2022-10-08,1900-01-01 19:00:00,Regular Season,7,Hapoel Jerusalem,Ihud Bnei Sakhnin,3,5,Ihud Bnei Sakhnin,1,2,Snir Levi,Teddy-Kollek-Stadion,2000,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 7 - Hapoel Jerusalem,2022 - Regular Season - 7 - Ihud Bnei Sakhnin,0,14,,,2,0,13,,,5
44,2022-10-08,1900-01-01 19:30:00,Regular Season,7,Hapoel Hadera,Beitar Jerusalem,7,14,Beitar Jerusalem,2,1,Igal Frid,Netanya Stadium,3580,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 7 - Hapoel Hadera,2022 - Regular Season - 7 - Beitar Jerusalem,0,10,,,9,0,3,,,14
