,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season,home_won,away_won,draw,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game
200,2023-04-29,1900-01-01 18:30:00,Championship Round,7,Maccabi Netanya,FC Ashdod,5,6,FC Ashdod,2,0,Yoav Mizrahi,Netanya Stadium,0,2022,1,0,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Championship Round - 7 - Maccabi Netanya,2022 - Championship Round - 7 - FC Ashdod,0,42,,,6,0,40,,,5
201,2023-04-29,1900-01-01 20:00:00,Championship Round,7,Maccabi Tel Aviv,Hapoel Jerusalem,3,4,Hapoel Jerusalem,2,1,Ohad Asulin,Bloomfield,0,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 7 - Maccabi Tel Aviv,2022 - Championship Round - 7 - Hapoel Jerusalem,0,67,,,3,0,45,,,4
202,2023-05-01,1900-01-01 20:30:00,Championship Round,7,Hapoel Beer Sheva,Maccabi Haifa,2,1,Hapoel Beer Sheva,2,1,Roi Reinshreiber,Toto Jacob Turner Stadium,0,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 7 - Hapoel Beer Sheva,2022 - Championship Round - 7 - Maccabi Haifa,0,71,,,2,0,75,,0.0,1
203,2023-03-18,1900-01-01 18:30:00,Relegation Round,1,Hapoel Hadera,Sekzia Ness Ziona,4,8,Sekzia Ness Ziona,1,2,Igal Frid,Netanya Stadium,648,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Relegation Round - 1 - Hapoel Hadera,2022 - Relegation Round - 1 - Sekzia Ness Ziona,0,29,,,10,1,20,,,14
204,2023-03-18,1900-01-01 19:30:00,Relegation Round,1,Beitar Jerusalem,Hapoel Tel Aviv,3,5,Hapoel Tel Aviv,2,1,Roi Reinshreiber,Teddy-Kollek-Stadion,9000,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Relegation Round - 1 - Beitar Jerusalem,2022 - Relegation Round - 1 - Hapoel Tel Aviv,0,34,,,7,0,27,,,11
205,2023-03-19,1900-01-01 19:00:00,Relegation Round,1,Ihud Bnei Sakhnin,Maccabi Bnei Reineh,2,6,Maccabi Bnei Reineh,2,2,Orel Grinfeld,Doha Stadium,1000,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Relegation Round - 1 - Ihud Bnei Sakhnin,2022 - Relegation Round - 1 - Maccabi Bnei Reineh,0,31,,,9,1,25,,,12
206,2023-03-19,1900-01-01 20:15:00,Relegation Round,1,Hapoel Haifa,Ironi Kiryat Shmona,1,7,Ironi Kiryat Shmona,1,1,David Fucsman,Sammy Ofer Stadium,700,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 1 - Hapoel Haifa,2022 - Relegation Round - 1 - Ironi Kiryat Shmona,0,31,,,8,0,22,,,13
207,2023-04-01,1900-01-01 16:00:00,Relegation Round,2,Hapoel Tel Aviv,Sekzia Ness Ziona,4,8,Sekzia Ness Ziona,2,1,Idan Leiba,Bloomfield,9360,2022,1,0,0,0,0,False,True,False,False,False,False,False,False,0,1,2022 - Relegation Round - 2 - Hapoel Tel Aviv,2022 - Relegation Round - 2 - Sekzia Ness Ziona,0,30,,,5,1,20,,,8
208,2023-04-02,1900-01-01 20:30:00,Relegation Round,2,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,7,2,Ironi Kiryat Shmona,2,2,Eitan Shmuelevic,Kiryat Shmona Municipal Stadium,1219,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 2 - Ironi Kiryat Shmona,2022 - Relegation Round - 2 - Ihud Bnei Sakhnin,0,23,,,7,0,32,,,3
209,2023-04-02,1900-01-01 20:30:00,Relegation Round,2,Maccabi Bnei Reineh,Hapoel Hadera,6,5,Maccabi Bnei Reineh,1,1,Snir Levi,Green Stadium,914,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 2 - Maccabi Bnei Reineh,2022 - Relegation Round - 2 - Hapoel Hadera,1,26,,,6,0,30,,,4
210,2023-04-03,1900-01-01 20:15:00,Relegation Round,2,Beitar Jerusalem,Hapoel Haifa,1,3,Hapoel Haifa,2,0,Yoav Mizrahi,Teddy-Kollek-Stadion,5336,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 2 - Beitar Jerusalem,2022 - Relegation Round - 2 - Hapoel Haifa,0,37,,,1,0,31,,,2
211,2023-04-15,1900-01-01 16:00:00,Relegation Round,3,Hapoel Haifa,Hapoel Tel Aviv,2,5,Hapoel Tel Aviv,1,0,Shalom Ben Avraham,Sammy Ofer Stadium,3950,2022,1,0,0,0,0,False,True,False,False,False,False,False,False,0,1,2022 - Relegation Round - 3 - Hapoel Haifa,2022 - Relegation Round - 3 - Hapoel Tel Aviv,0,34,,,3,0,30,,,4
212,2023-04-15,1900-01-01 20:00:00,Relegation Round,3,Sekzia Ness Ziona,Maccabi Bnei Reineh,8,6,Sekzia Ness Ziona,1,2,David Fucsman,HaMoshava Stadium,419,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 3 - Sekzia Ness Ziona,2022 - Relegation Round - 3 - Maccabi Bnei Reineh,1,20,,,8,1,29,,,6
213,2023-04-15,1900-01-01 20:00:00,Relegation Round,3,Hapoel Hadera,Ironi Kiryat Shmona,4,7,Ironi Kiryat Shmona,1,1,Roi Reinshreiber,Netanya Stadium,980,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 3 - Hapoel Hadera,2022 - Relegation Round - 3 - Ironi Kiryat Shmona,0,31,,,5,0,24,,,7
214,2023-04-16,1900-01-01 20:15:00,Relegation Round,3,Ihud Bnei Sakhnin,Beitar Jerusalem,1,3,Beitar Jerusalem,4,3,Snir Levi,HaMoshava Stadium,5656,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 3 - Ihud Bnei Sakhnin,2022 - Relegation Round - 3 - Beitar Jerusalem,0,35,,,2,0,37,,,1
215,2023-04-22,1900-01-01 16:00:00,Relegation Round,4,Hapoel Tel Aviv,Maccabi Bnei Reineh,6,4,Hapoel Tel Aviv,1,2,Aviad Shiloah,Bloomfield,9122,2022,0,1,0,0,0,False,True,False,False,False,False,False,False,0,1,2022 - Relegation Round - 4 - Hapoel Tel Aviv,2022 - Relegation Round - 4 - Maccabi Bnei Reineh,0,30,,,5,1,32,,,6
216,2023-04-22,1900-01-01 20:00:00,Relegation Round,4,Ironi Kiryat Shmona,Sekzia Ness Ziona,7,8,Sekzia Ness Ziona,1,1,Igal Frid,Kiryat Shmona Municipal Stadium,1380,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 4 - Ironi Kiryat Shmona,2022 - Relegation Round - 4 - Sekzia Ness Ziona,0,25,,,7,1,21,,,8
217,2023-04-22,1900-01-01 20:00:00,Relegation Round,4,Hapoel Haifa,Ihud Bnei Sakhnin,3,2,Hapoel Haifa,2,2,Majed Rushrush,Sammy Ofer Stadium,1850,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 4 - Hapoel Haifa,2022 - Relegation Round - 4 - Ihud Bnei Sakhnin,0,35,,,3,0,36,,,2
218,2023-04-23,1900-01-01 20:15:00,Relegation Round,4,Beitar Jerusalem,Hapoel Hadera,1,5,Hapoel Hadera,2,1,Gal Levi,HaMoshava Stadium,4697,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 4 - Beitar Jerusalem,2022 - Relegation Round - 4 - Hapoel Hadera,0,40,,,1,0,31,,,4
219,2023-04-29,1900-01-01 17:00:00,Relegation Round,5,Maccabi Bnei Reineh,Ironi Kiryat Shmona,5,7,Ironi Kiryat Shmona,1,3,Orel Grinfeld,Green Stadium,0,2022,0,1,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Relegation Round - 5 - Maccabi Bnei Reineh,2022 - Relegation Round - 5 - Ironi Kiryat Shmona,1,32,,,4,0,28,0.0,,7
220,2023-04-29,1900-01-01 20:00:00,Relegation Round,5,Sekzia Ness Ziona,Beitar Jerusalem,8,1,Sekzia Ness Ziona,1,3,Nael Odeh,HaMoshava Stadium,0,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 5 - Sekzia Ness Ziona,2022 - Relegation Round - 5 - Beitar Jerusalem,1,21,0.0,,8,0,43,,,1
221,2023-04-30,1900-01-01 19:00:00,Relegation Round,5,Hapoel Hadera,Hapoel Haifa,6,2,Hapoel Hadera,1,2,Dekel Tzino,Netanya Stadium,0,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Relegation Round - 5 - Hapoel Hadera,2022 - Relegation Round - 5 - Hapoel Haifa,0,31,,,5,0,38,,,3
222,2023-04-30,1900-01-01 20:15:00,Relegation Round,5,Ihud Bnei Sakhnin,Hapoel Tel Aviv,3,4,Hapoel Tel Aviv,0,1,Gal Leibovitz,Doha Stadium,0,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Relegation Round - 5 - Ihud Bnei Sakhnin,2022 - Relegation Round - 5 - Hapoel Tel Aviv,0,36,,,2,0,33,,,6
223,2023-05-06,1900-01-01 18:45:00,Relegation Round,6,Hapoel Tel Aviv,Ironi Kiryat Shmona,5,7,Ironi Kiryat Shmona,2,2,Roi Reinshreiber,Bloomfield,0,2022,0,0,1,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Relegation Round - 6 - Hapoel Tel Aviv,2022 - Relegation Round - 6 - Ironi Kiryat Shmona,0,34,,,4,0,29,0.0,,7
224,2023-05-06,1900-01-01 18:45:00,Relegation Round,6,Beitar Jerusalem,Maccabi Bnei Reineh,1,4,Maccabi Bnei Reineh,0,1,David Fucsman,Teddy-Kollek-Stadion,0,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Relegation Round - 6 - Beitar Jerusalem,2022 - Relegation Round - 6 - Maccabi Bnei Reineh,0,43,,,1,1,35,,,5
225,2023-05-06,1900-01-01 18:45:00,Relegation Round,6,Ihud Bnei Sakhnin,Hapoel Hadera,3,6,Hapoel Hadera,2,3,Idan Leiba,Doha Stadium,0,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Relegation Round - 6 - Ihud Bnei Sakhnin,2022 - Relegation Round - 6 - Hapoel Hadera,0,36,,,3,0,34,,,6
226,2023-05-06,1900-01-01 18:45:00,Relegation Round,6,Hapoel Haifa,Sekzia Ness Ziona,2,8,Sekzia Ness Ziona,0,1,Refael Geva,Sammy Ofer Stadium,0,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Relegation Round - 6 - Hapoel Haifa,2022 - Relegation Round - 6 - Sekzia Ness Ziona,0,38,,,2,1,24,1.0,,8
