,season,round,round_type,team,promoted,team_pos,pts,g_difference,win,draw,lose,goals_for,goals_against
151,2022,11,Regular Season,Ironi Kiryat Shmona,0,12,9,-4,1,6,4,12,16
152,2022,11,Regular Season,Maccabi Netanya,0,13,9,-9,2,3,6,10,19
153,2022,11,Regular Season,Sekzia Ness Ziona,1,14,9,-10,2,3,6,9,19
154,2022,12,Regular Season,Maccabi Haifa,0,1,30,13,10,0,2,24,11
155,2022,12,Regular Season,Maccabi Tel Aviv,0,2,26,23,8,2,2,29,6
156,2022,12,Regular Season,Hapoel Beer Sheva,0,3,26,17,8,2,2,28,11
157,2022,12,Regular Season,Hapoel Jerusalem,0,4,20,5,6,2,4,18,13
158,2022,12,Regular Season,FC Ashdod,0,5,17,0,4,5,3,13,13
159,2022,12,Regular Season,Hapoel Hadera,0,6,17,-3,4,5,3,15,18
160,2022,12,Regular Season,Ihud Bnei Sakhnin,0,7,15,-2,4,3,5,11,13
161,2022,12,Regular Season,Hapoel Tel Aviv,0,8,13,-6,4,1,7,14,20
162,2022,12,Regular Season,Maccabi Bnei Reineh,1,9,13,-8,3,4,5,14,22
163,2022,12,Regular Season,Hapoel Haifa,0,10,12,-4,2,6,4,9,13
164,2022,12,Regular Season,Maccabi Netanya,0,11,12,-8,3,3,6,11,19
165,2022,12,Regular Season,Sekzia Ness Ziona,1,12,10,-10,2,4,6,12,22
166,2022,12,Regular Season,Beitar Jerusalem,0,13,10,-12,3,1,8,13,25
167,2022,12,Regular Season,Ironi Kiryat Shmona,0,14,9,-5,1,6,5,12,17
168,2022,13,Regular Season,Maccabi Haifa,0,1,33,16,11,0,2,29,13
169,2022,13,Regular Season,Maccabi Tel Aviv,0,2,29,24,9,2,2,30,6
170,2022,13,Regular Season,Hapoel Beer Sheva,0,3,29,19,9,2,2,30,11
171,2022,13,Regular Season,Hapoel Jerusalem,0,4,23,7,7,2,4,20,13
172,2022,13,Regular Season,Hapoel Hadera,0,5,18,-3,4,6,3,15,18
173,2022,13,Regular Season,FC Ashdod,0,6,17,-1,4,5,4,15,16
174,2022,13,Regular Season,Ihud Bnei Sakhnin,0,7,15,-3,4,3,6,12,15
175,2022,13,Regular Season,Maccabi Netanya,0,8,15,-7,4,3,6,14,21
176,2022,13,Regular Season,Hapoel Tel Aviv,0,9,13,-9,4,1,8,16,25
177,2022,13,Regular Season,Maccabi Bnei Reineh,1,10,13,-10,3,4,6,14,24
178,2022,13,Regular Season,Beitar Jerusalem,0,11,13,-11,4,1,8,15,26
179,2022,13,Regular Season,Hapoel Haifa,0,12,12,-5,2,6,5,9,14
180,2022,13,Regular Season,Sekzia Ness Ziona,1,13,11,-10,2,5,6,12,22
181,2022,13,Regular Season,Ironi Kiryat Shmona,0,14,9,-7,1,6,6,12,19
182,2022,14,Regular Season,Maccabi Haifa,0,1,36,18,12,0,2,32,14
183,2022,14,Regular Season,Maccabi Tel Aviv,0,2,32,26,10,2,2,32,6
184,2022,14,Regular Season,Hapoel Beer Sheva,0,3,32,20,10,2,2,31,11
185,2022,14,Regular Season,Hapoel Jerusalem,0,4,24,7,7,3,4,20,13
186,2022,14,Regular Season,Hapoel Hadera,0,5,19,-3,4,7,3,15,18
187,2022,14,Regular Season,FC Ashdod,0,6,17,-2,4,5,5,15,17
188,2022,14,Regular Season,Beitar Jerusalem,0,7,16,-8,5,1,8,21,29
189,2022,14,Regular Season,Ihud Bnei Sakhnin,0,8,15,-5,4,3,7,13,18
190,2022,14,Regular Season,Maccabi Netanya,0,9,15,-10,4,3,7,17,27
191,2022,14,Regular Season,Hapoel Tel Aviv,0,10,14,-9,4,2,8,19,28
192,2022,14,Regular Season,Hapoel Haifa,0,11,13,-5,2,7,5,12,17
193,2022,14,Regular Season,Maccabi Bnei Reineh,1,12,13,-12,3,4,7,14,26
194,2022,14,Regular Season,Sekzia Ness Ziona,1,13,12,-10,2,6,6,15,25
195,2022,14,Regular Season,Ironi Kiryat Shmona,0,14,10,-7,1,7,6,15,22
196,2022,15,Regular Season,Maccabi Haifa,0,1,39,20,13,0,2,34,14
197,2022,15,Regular Season,Maccabi Tel Aviv,0,2,35,31,11,2,2,37,6
198,2022,15,Regular Season,Hapoel Beer Sheva,0,3,35,21,11,2,2,34,13
199,2022,15,Regular Season,Hapoel Jerusalem,0,4,25,7,7,4,4,21,14
200,2022,15,Regular Season,Hapoel Hadera,0,5,19,-8,4,7,4,15,23
201,2022,15,Regular Season,FC Ashdod,0,6,17,-4,4,5,6,15,19
202,2022,15,Regular Season,Ihud Bnei Sakhnin,0,7,16,-5,4,4,7,14,19
203,2022,15,Regular Season,Beitar Jerusalem,0,8,16,-9,5,1,9,23,32
204,2022,15,Regular Season,Sekzia Ness Ziona,1,9,15,-8,3,6,6,17,25
205,2022,15,Regular Season,Hapoel Tel Aviv,0,10,15,-9,4,3,8,20,29
206,2022,15,Regular Season,Maccabi Netanya,0,11,15,-12,4,3,8,17,29
